num_elements,total_sum,time_ms
100000,100000,0.4952621459960938
200000,200000,0.999448299407959
300000,300000,1.6267156600952148
400000,400000,1.9476532936096191
500000,500000,2.510840892791748
600000,600000,3.7688326835632324
700000,700000,3.4442543983459473
800000,800000,3.925249576568603
900000,900000,4.439070224761963
1000000,1000000,4.876441955566406
1100000,1100000,5.397796630859375
1200000,1200000,5.705223083496094
1300000,1300000,6.260957717895508
1400000,1400000,6.705970764160156
1500000,1500000,7.548513412475586
1600000,1600000,7.839634418487548
1700000,1700000,8.193821907043457
1800000,1800000,8.580045700073242
1900000,1900000,9.308774471282959
2000000,2000000,9.462356567382812
2100000,2100000,10.20207405090332
2200000,2200000,10.440306663513184
2300000,2300000,10.920019149780273
2400000,2400000,11.507604122161865
2500000,2500000,11.919293403625488
2600000,2600000,12.323787212371826
2700000,2700000,12.859766483306885
2800000,2800000,13.360919952392578
2900000,2900000,13.84768009185791
3000000,3000000,14.261002540588379
3100000,3100000,14.831924438476562
3200000,3200000,15.24256944656372
3300000,3300000,15.583581924438477
3400000,3400000,16.16576910018921
3500000,3500000,17.068727016448975
3600000,3600000,17.570648193359375
3700000,3700000,17.64078378677368
3800000,3800000,17.946655750274658
3900000,3900000,18.493144512176514
4000000,4000000,19.255549907684326
4100000,4100000,19.38401222229004
4200000,4200000,19.795551300048828
4300000,4300000,20.262880325317383
4400000,4400000,20.821943283081055
4500000,4500000,21.29542112350464
4600000,4600000,22.44229555130005
4700000,4700000,21.456351280212402
4800000,4800000,21.82251214981079
4900000,4900000,22.368533611297607
5000000,5000000,22.597789764404297
5100000,5100000,25.48201560974121
5200000,5200000,24.205467700958252
5300000,5300000,28.730146884918213
5400000,5400000,26.756062507629395
5500000,5500000,25.922374725341797
5600000,5600000,27.165799140930176
5700000,5700000,27.861077785491943
5800000,5800000,27.04010009765625
5900000,5900000,27.314951419830322
6000000,6000000,28.620645999908447
6100000,6100000,31.755144596099857
6200000,6200000,26.778347492218018
6300000,6300000,28.021273612976074
6400000,6400000,28.166930675506592
6500000,6500000,29.84036684036255
6600000,6600000,34.148664474487305
6700000,6700000,31.861128807067875
6800000,6800000,28.364202976226807
6900000,6900000,28.57959270477295
7000000,7000000,30.21289825439453
7100000,7100000,29.912731647491455
7200000,7200000,29.94544744491577
7300000,7300000,31.86316251754761
7400000,7400000,30.778217315673828
7500000,7500000,30.598061084747314
7600000,7600000,31.082584857940674
7700000,7700000,31.615774631500248
7800000,7800000,31.941325664520264
7900000,7900000,37.32471704483032
8000000,8000000,40.46975374221802
8100000,8100000,42.52894401550293
8200000,8200000,38.45280170440674
8300000,8300000,42.13173151016235
8400000,8400000,38.91371488571167
8500000,8500000,37.72247314453125
8600000,8600000,38.15071105957031
8700000,8700000,38.085033893585205
8800000,8800000,37.099177837371826
8900000,8900000,36.055872440338135
9000000,9000000,36.340436935424805
9100000,9100000,36.654908657073975
9200000,9200000,36.99031352996826
9300000,9300000,38.485774993896484
9400000,9400000,37.79631853103638
9500000,9500000,38.39640140533447
9600000,9600000,38.734750747680664
9700000,9700000,38.92745494842529
9800000,9800000,39.41561222076416
9900000,9900000,39.681313037872314
10000000,10000000,40.092365741729736